I002,I006,I009,I010,I016,I022,I024,I034,I039,I040,I041,I044,I045,I052,I056,I057,I065,I069,I071,I075,I077,I087,I091,I094,I095,I096,I097,I098,I109,I111,I114,I119,I132,I135,I141,I143,I147,I148,I152,I159,I167,I173,I175,I182,I183,I184,I185,I188,I190,I212,I222,I224,I225,I228,I230,I234,I244,I251,I254,I257,I260,I267,I268,I274,I279,I282,I284,I289,I291,I294,I296,I298,I302,I304,I310,I311,I315,I317,I319,I324,I326,I327,I347,I349,I350,I354,I372,I377,I378,I379,I382,I391,I394,I395,I403,I412,I418,I421,I422,I430,I432,I439,I442,I444,I454,I458,I460,I465,I469,I478,I479,I481,I490,I495,I504,I506,I507,I512,I513,I514,I518,I522,I523,I525,I532,I535,I536,I538,I542,I544,I552,I572,I573,I585,I589,I600,I601,I608,I609
0.1896006,0.1177218,0.1632666,0.1447311,0.136703,0.1598345,0.1531474,0.1143016,0.1546835,0.1126255,0.1160634,0.1201202,0.1571485,0.144747,0.1237095,0.1314514,0.1546225,0.1343892,0.1016813,0.1348316,0.1259368,0.1268196,0.1190511,0.1245189,0.1078722,0.09961314,0.1405685,0.1273218,0.1705655,0.2075497,0.1170831,0.1550271,0.141425,0.1420464,0.1424887,0.1231157,0.1074284,0.1383405,0.1131072,0.1559301,0.1726125,0.12727,0.1306595,0.1765311,0.1390642,0.1059824,0.1254611,0.1358269,0.1443526,0.1045529,0.121076,0.1289873,0.1053645,0.1388604,0.1658547,0.1332396,0.1571051,0.1830025,0.148405,0.1259205,0.1593302,0.17289,0.1425966,0.1225726,0.1453272,0.1552275,0.1256867,0.1224087,0.1113043,0.12864,0.1404117,0.1374015,0.1189226,0.09132721,0.12585,0.1606757,0.1554414,0.1329386,0.1245213,0.1120205,0.1393127,0.1484218,0.1408814,0.1080674,0.1787643,0.0979777,0.1371797,0.1516148,0.1250457,0.1188327,0.08526459,0.1680132,0.1403559,0.1331797,0.1346984,0.1874463,0.1676126,0.1238957,0.1841862,0.1541981,0.1724107,0.1352339,0.1443512,0.1690405,0.1671375,0.1471467,0.1365122,0.1313219,0.1453444,0.1077875,0.1239024,0.1482515,0.1154774,0.1562778,0.1417412,0.1505965,0.1376128,0.1717212,0.1349429,0.153862,0.1647983,0.1589713,0.1433797,0.1221359,0.1227845,0.1264198,0.140818,0.1231065,0.1478737,0.142131,0.1469428,0.1269336,0.1317075,0.1363918,0.1454914,0.1350901,0.1317609,0.144466,0.138532
0.4308303,0.4050336,0.4461798,0.4157004,0.3815618,0.4053555,0.4242466,0.3593999,0.4041916,0.4026249,0.3866989,0.4035312,0.3771889,0.3479415,0.3859142,0.388871,0.4388677,0.3899255,0.3475321,0.4013649,0.3710591,0.3964216,0.3822885,0.3841037,0.3711342,0.3765681,0.3715862,0.4114546,0.4328278,0.4664856,0.4179803,0.382834,0.415936,0.407855,0.3690026,0.3739298,0.4143662,0.4382774,0.3134582,0.4429533,0.4147852,0.3651974,0.4124795,0.4206063,0.4081752,0.3786826,0.3850595,0.3621999,0.3973666,0.362476,0.3878689,0.3840321,0.3962108,0.4069094,0.4065239,0.4222713,0.3754003,0.3906191,0.3695539,0.371389,0.4225008,0.4221827,0.3996079,0.4036244,0.4201601,0.4214853,0.3795905,0.4026086,0.369988,0.3921497,0.3940567,0.3661197,0.391775,0.3548422,0.399781,0.4267496,0.4287635,0.3645679,0.3917028,0.3831353,0.3767619,0.4608843,0.3840159,0.3874823,0.4339662,0.3765169,0.3758856,0.4081181,0.4362755,0.3941689,0.3571564,0.4266967,0.4095355,0.3603105,0.3834431,0.4263797,0.3952591,0.4162966,0.3604027,0.3554735,0.4178241,0.4045129,0.3990086,0.3632093,0.4332308,0.4178096,0.4121871,0.3848192,0.3975241,0.3421603,0.384432,0.394297,0.3679155,0.4274794,0.4018245,0.405222,0.5158307,0.4338127,0.3524454,0.4449735,0.4412231,0.3954338,0.4343261,0.3773749,0.4048132,0.3956724,0.41336,0.3739248,0.4346573,0.3829543,0.402161,0.4204917,0.3901246,0.4026208,0.4294136,0.3724405,0.3839911,0.3751013,0.3611746
0.1790827,0.143243,0.1380559,0.1261617,0.1397863,0.1216338,0.1529133,0.1129582,0.1337845,0.1499156,0.1303378,0.1697391,0.1437056,0.09819638,0.1229544,0.1411477,0.142378,0.1448707,0.1005545,0.1383635,0.1338962,0.1408716,0.1088986,0.1166014,0.1130145,0.1300008,0.1180572,0.1383208,0.1603514,0.1821186,0.1429037,0.1257713,0.1457575,0.1306349,0.1133477,0.1019269,0.1329921,0.1633921,0.1199771,0.1397099,0.1468087,0.1377079,0.1463867,0.1518388,0.1589845,0.125944,0.142677,0.1267993,0.1409529,0.1338722,0.1112613,0.143161,0.1278504,0.1306872,0.144774,0.1650483,0.1437335,0.1491133,0.1395308,0.1335596,0.1472633,0.1387646,0.1486732,0.1467932,0.1884679,0.1558489,0.1719315,0.116442,0.131078,0.1344116,0.179831,0.1095002,0.14686,0.1166828,0.1311222,0.1861055,0.1662355,0.1159056,0.1337276,0.1261722,0.1304395,0.223918,0.1573771,0.1175883,0.1640278,0.1239136,0.1219713,0.1642717,0.1697756,0.1185862,0.1119432,0.1734419,0.1664626,0.1126991,0.1284109,0.1592693,0.1512155,0.125726,0.1454614,0.1161258,0.1743901,0.1368581,0.1437943,0.1347119,0.1690105,0.1588988,0.1372007,0.1329963,0.1382566,0.1014718,0.1316522,0.1475583,0.1438184,0.1387481,0.1262653,0.1538362,0.162015,0.1187938,0.1105746,0.1624158,0.2094186,0.1265849,0.1290491,0.1271487,0.1279394,0.1175428,0.1417789,0.130725,0.1515849,0.1308509,0.1489867,0.145865,0.1620463,0.1336488,0.1576524,0.1195201,0.1276164,0.1485003,0.1403347
0.5333254,0.4265727,0.4362582,0.549923,0.4950094,0.4375136,0.5276936,0.6963372,0.4841843,0.6366869,0.5581467,0.5105786,0.5001255,0.5250523,0.5406636,0.5450675,0.4937041,0.5191163,0.5119411,0.5412372,0.5114911,0.5195687,0.6171575,0.5442064,0.5716246,0.5039082,0.4696884,0.460151,0.4779639,0.45057,0.4618174,0.4883887,0.5036216,0.5157222,0.5571523,0.4971723,0.4638011,0.4268438,0.5723748,0.4433507,0.4468335,0.4438542,0.5079842,0.415434,0.5181598,0.5787708,0.5347611,0.5387664,0.4726218,0.530395,0.425596,0.4923751,0.5212805,0.4768505,0.4535977,0.5139583,0.5169191,0.456726,0.557502,0.5044622,0.5807769,0.5076446,0.4672021,0.539917,0.5244858,0.4579299,0.4543269,0.5460365,0.5312721,0.4378782,0.5020779,0.5380741,0.5532767,0.5854426,0.4734764,0.4892586,0.3694075,0.5407358,0.4187485,0.5512894,0.5006533,0.4161953,0.562376,0.4755068,0.4602068,0.5310218,0.4257919,0.5321464,0.484437,0.4558827,0.5278066,0.5070187,0.5258864,0.5208246,0.492256,0.3833499,0.507955,0.4243287,0.5269523,0.6117837,0.5280874,0.5243713,0.4091,0.5888159,0.4537439,0.4720678,0.5247025,0.5320982,0.5176641,0.4771517,0.505784,0.4967364,0.5641164,0.4400463,0.5572131,0.4866838,0.4575025,0.4591526,0.538708,0.4887709,0.4466564,0.4584911,0.4858121,0.5030437,0.4741046,0.5225154,0.5039916,0.5388476,0.4497815,0.4566734,0.4871904,0.5379208,0.5862994,0.5407031,0.5097872,0.5635234,0.508157,0.4243662,0.5860153
0.1561731,0.1417061,0.1815522,0.1309496,0.16169,0.1743304,0.1987024,0.1115637,0.1624334,0.1532643,0.2241124,0.1845172,0.1818079,0.1409727,0.1553123,0.1274953,0.167437,0.2268357,0.1369018,0.1724486,0.1559443,0.1460837,0.1565492,0.1719643,0.1299651,0.1047064,0.1169444,0.127211,0.1356095,0.2204157,0.1733563,0.1471625,0.1694714,0.1418486,0.0922983,0.1547215,0.1450113,0.1815458,0.1598045,0.1799847,0.2398216,0.1710082,0.1639296,0.1787158,0.2058029,0.1069751,0.1416082,0.1196133,0.1493187,0.2098121,0.1752639,0.1585326,0.1369203,0.189138,0.2340453,0.2151597,0.15027,0.1928553,0.1666593,0.1843924,0.1741468,0.1494216,0.1462903,0.1581895,0.1916838,0.1912216,0.1518526,0.1890932,0.1471847,0.09446618,0.1521618,0.1296703,0.1963561,0.1004328,0.1342047,0.1932638,0.2245761,0.1301237,0.1798338,NA,0.1575413,0.3238176,0.1669306,0.1618831,0.1984624,0.1183987,0.1700772,0.1650091,0.1417016,0.1612552,0.147667,0.2355565,0.1908155,0.1329156,0.1578251,0.2008276,0.191965,0.1431249,0.2101046,0.167821,0.2109923,0.1702983,0.1895634,0.1366115,0.1616994,0.2064093,0.1638798,0.1784219,0.1326655,0.1306608,0.1273185,0.1590553,0.1343707,0.2036679,0.1727444,0.1655172,0.1651518,0.216835,0.1767527,0.1640601,0.2127871,0.1660168,0.1434233,0.1374282,0.1585325,0.155192,0.1603694,0.121748,0.2230594,0.1669115,0.2222258,0.1178358,0.1503627,0.1515698,0.2142362,0.1415649,0.1457602,0.1873892,0.1649958
0.1659447,0.1011681,0.1347455,0.09901516,0.1318298,0.1389921,0.1247716,0.07680646,0.08857362,0.09703609,0.06918263,0.1140893,0.1020353,0.03668293,0.1037913,0.08726868,0.1187365,0.1151432,0.06650939,0.1292869,0.1127072,0.08352236,0.09069456,0.1018698,0.1016509,0.09250799,0.07789333,0.1085056,0.2109683,0.1382116,0.08619059,0.09492967,0.08083807,0.125671,0.04292316,0.1019339,0.1000763,0.1647837,0.06560861,0.1374649,0.09417072,0.1048638,0.1099106,0.1604866,0.1447273,0.06206237,0.09739356,0.0884696,0.09559746,0.1173369,0.09115167,0.1124937,0.08286007,0.1556971,0.1527652,0.1555607,0.1009833,0.1148707,0.08109418,0.08644629,0.1292202,0.1096831,0.1014053,0.1333887,0.1140983,0.1297487,0.1426543,0.1091025,0.08638871,0.09889587,0.07672049,0.07314993,0.09630084,0.1012849,0.1584156,0.1147802,0.1474255,0.05926325,0.1147988,0.0965753,0.09946284,0.2257638,0.09707708,0.098292,0.2002565,0.08457179,0.1016205,0.123778,0.1363637,0.1011793,0.09437804,0.09685197,0.08059907,0.09858505,0.07113522,0.1738933,0.1390141,0.1274405,0.1276704,0.07349832,0.1112473,0.1003147,0.09908228,0.09678029,0.1551596,0.1680086,0.1205646,0.1159498,0.102946,0.06206815,0.1386886,0.1101668,0.0958789,0.1339307,0.07610055,0.108297,0.1967264,0.09890512,0.06218774,0.1281195,0.1583629,0.1133425,0.09115802,0.08510222,0.128459,0.1142224,0.1539858,0.07234382,0.1509814,0.111064,0.1254858,0.123712,0.1110402,0.08884687,0.129051,0.1186751,0.1085503,0.1339289,0.08928987
0.1326298,0.1437567,0.1532067,0.1297181,0.1255855,0.1197258,0.1743354,0.156352,0.1539051,0.106313,0.128367,0.1564669,0.12875,0.08942542,0.1087338,0.1096876,0.1333199,0.1513259,0.0902792,0.1550526,0.1159608,0.1333571,0.1166565,0.1267638,0.1396772,0.1029782,0.1539685,0.1140875,0.2108,0.1126728,0.1410051,0.1084704,0.1322517,0.1481611,0.1139834,0.1406426,0.1252252,0.1494066,0.08835753,0.144842,0.1838521,0.10809,0.1533316,0.1643625,0.2118831,0.1561794,0.1318181,0.09926609,0.1492857,0.08327907,0.1298661,0.1469235,0.1095099,0.1779839,0.1322474,0.1510717,0.1155791,0.1633815,0.2121521,0.1570643,0.2232231,0.1681792,0.1145722,0.1449956,0.1685554,0.1351128,0.1217535,0.1472336,0.1201856,0.1311153,0.1755523,0.1128296,0.1592038,0.1194629,0.1278653,0.1576306,0.141025,0.1200452,0.1238381,0.08433744,0.1453498,0.1793781,0.1304677,0.1341335,0.1784182,0.1429049,0.133458,0.1413355,0.1005196,0.1198851,0.1053293,0.1624576,0.1685572,0.1619487,0.1532965,0.1592034,0.1789412,0.1484448,0.1393489,0.1093609,0.1718338,0.1471349,0.13057,0.1012981,0.1076101,0.1487038,0.09717099,0.1128177,0.1207472,0.1154547,0.1516785,0.1406316,0.09775604,0.183381,0.143781,0.1373775,0.1360406,0.1901922,0.1376972,0.1794111,0.2397974,0.1444503,0.1402154,0.1543666,0.1512258,0.1379717,0.1193183,0.1144589,0.1938164,0.1283029,0.141896,0.1478238,0.1644397,0.133806,0.2015851,0.1221708,0.1106841,0.1440949,0.1259643
0.1126736,0.1004275,0.1119363,0.1109418,0.08092415,0.1080779,0.09432678,0.1219241,0.09309029,0.09861799,0.1103886,0.1138826,0.1222882,0.07995455,0.1075927,0.1175845,0.1223048,0.1017259,0.1018825,0.1155724,0.1362159,0.09631459,0.09596282,0.0861883,0.09343692,NA,0.09337943,0.09692887,0.1121311,0.09937266,0.09680756,0.1333899,0.1126484,0.1155636,0.1064087,0.102042,0.1081432,0.1214334,0.1056389,0.1382096,0.1098648,0.1046976,0.08416787,0.1070745,0.1218056,0.1168921,0.1046864,0.09604036,0.1111292,0.1026775,0.1087898,0.09616263,0.1073937,0.1079426,0.1111303,0.1202379,0.08456755,0.1102343,0.109391,0.1024097,0.1148353,0.1136808,0.09872764,0.1120882,0.1297499,0.1092439,0.09138186,0.1207772,0.1091586,0.1194843,0.1257967,0.09910478,0.09461048,0.09452474,0.1244826,0.139154,0.1260051,0.1197588,0.1055101,0.1099442,0.102932,0.157406,0.1175697,0.1084232,0.1306643,0.1098912,0.09899484,0.1068652,0.1211716,0.1045552,0.08681656,0.1098752,0.1025348,0.08938227,0.0972208,0.1392547,0.1176093,0.1138966,0.1123085,0.108401,0.1316299,0.1209025,0.1180036,0.1095234,0.09172254,0.1576332,0.1007089,0.1015532,0.103047,0.07871001,0.09813394,0.1139153,0.0990105,0.09907109,0.129084,0.1287624,0.09016982,0.1067073,0.09494227,0.1296201,0.1323852,0.1080764,0.1190134,0.1086392,0.09306071,0.07682961,0.1266269,0.09390917,0.1325589,0.1250013,0.1125883,0.1014946,0.1150238,0.122424,0.1203012,0.1164147,0.1173277,0.1123863,0.1182882
0.7174152,0.6720482,0.7163873,0.6815802,0.712835,0.675832,0.6946114,0.7449695,0.6726264,0.7655213,0.6907282,0.745104,0.7090626,0.7453486,0.720701,0.7331767,0.765182,0.7191617,0.7117172,0.7664756,0.7311567,0.7306303,0.7389727,0.7289116,0.7499759,0.725001,0.7246705,0.7493476,0.7091427,0.6712028,0.7126567,0.7136443,0.7067658,0.6965691,0.7606401,0.7662263,0.7539958,0.71479,0.7240175,0.7146931,0.7061211,0.7493098,0.7497463,0.7110423,0.7341926,0.7307603,0.7605319,0.7384806,0.7085667,0.7275102,0.7271993,0.7075852,0.7059783,0.6986961,0.7130836,0.7308846,0.7430158,0.7734797,0.7128911,0.7324315,0.7280318,0.6894451,0.7610082,0.6795164,0.7089142,0.7260257,0.7428084,0.7347492,0.7470751,0.6997532,0.7372323,0.7231881,0.7271966,0.7057652,0.7428443,0.7076276,0.706109,0.731077,0.6919664,0.7140564,0.7163157,0.644474,0.710039,0.7122691,0.7183066,0.686192,0.6975278,0.7256032,0.6376036,0.6810468,0.7365795,0.7118521,0.698366,0.6936637,0.7631898,0.7281981,0.7277325,0.7356146,0.7421012,0.7341363,0.7088684,0.7129728,0.7139546,0.7392527,0.6965728,0.7403615,0.737258,0.727944,0.7377638,0.7452734,0.7177933,0.7025499,0.7367767,0.6767054,0.7303823,0.7233388,0.7785773,0.6298165,0.718812,0.6958847,0.7235442,0.7223724,0.7489408,0.6947557,0.7089762,0.7503765,0.7197461,0.750081,0.6744335,0.7271296,0.7101219,0.7348435,0.74957,0.6892312,0.6857357,0.7297367,0.7545301,0.7187713,0.791859
0.5077549,0.4722312,0.4531331,0.5237243,0.4693703,0.4935865,0.4520662,0.5167979,0.5000952,0.5285703,0.4138762,0.5043392,0.4725991,0.544776,0.4953462,0.4733528,0.4780018,0.4780478,0.4300706,0.4769789,0.5463611,0.4553308,0.4669638,0.5103924,0.4821804,0.510837,0.4994705,0.4979783,0.4582672,0.4257593,0.5013185,0.4798097,0.4756198,0.5197994,0.5131855,0.4780709,0.4869433,0.4640628,0.456083,0.5095752,0.4129246,0.4480605,0.5119206,0.4749727,0.4859415,0.4868273,0.5017094,0.5391568,0.472597,0.525858,0.4822074,0.5049955,0.4972304,0.4757374,0.429558,0.4909551,0.4997594,0.4976355,0.4874848,0.5169879,0.4982348,0.4601827,0.4545334,0.5214506,0.4751652,0.476855,0.5406181,0.5191492,0.5438415,0.4976044,0.4665078,0.4800206,0.4796431,0.5315719,0.5124867,0.4520689,0.4802625,0.4623755,0.4732641,0.4852163,0.4454143,0.4389307,0.4579269,0.4965321,0.4483207,0.4927082,0.5117957,0.4979412,0.5224554,0.4225599,0.4470005,0.4467745,0.484246,0.5114831,0.463568,0.4852473,0.4871896,0.4833095,0.467687,0.5203468,0.5154281,0.4091492,0.4559619,0.53416,0.4407969,0.4542092,0.4921207,0.508292,0.5010992,0.492144,0.4927021,0.4804799,0.5281301,0.4519191,0.4783764,0.4650087,0.5062436,0.4319424,0.4673646,0.4605773,0.4624131,0.463069,0.4781713,0.4811764,0.5215799,0.4959084,0.4576997,0.4944528,0.4651211,0.4636509,0.4932194,0.5327187,0.4924498,0.4918838,0.4143741,0.4628104,0.4751482,0.4546284,0.5231822
